key,token
Nc1ccnc(S)n1,0
[NH3+]C[C@@H](O)CO,0
CC(C)CC(C)(C)C,0
Cc1ccnc(N)c1,0
[NH3+]CCCC=O,0
CCCC(CCC)C(N)=O,0
[NH3+]CCC[C@H]([NH3+])C(=O)[O-],0
C1=NCCN=C1,0
O=C([O-])CF,0
C[C@H](CC(=O)[O-])C(=O)[O-],0
NC1=NCCN1,0
O[C@@H]1CO[C@@H](O)[C@H](O)C1,0
OC1=CCCCC1O,0
CCCCCCCCCC(=O)[O-],0
CO[P@@](=O)([O-])O,0
CO[P@@](=O)([O-])CO,0
C#CCO,0
C1=CSC=[NH+]1,0
O[C@H]1C=[NH+]CC[C@@H]1O,0
C1=C[NH+]=CN1,0
CC[C@H](C)[C@H]([NH3+])C(=O)[O-],0
O=c1ccc(=O)[nH][nH]1,0
OCCCO,0
C1COCOC1,0
On1ccccc1=S,0
C[n+]1ccc(Cl)cc1,0
CCCC(CCC)[C@H]([NH3+])[P+](=O)(=O)[O-],0
C[C@@H](O)CC(=O)[O-],0
Oc1cccc(Cl)c1,0
CCC(=O)C(C)C,0
O[C@H]1CCO[NH2+]C1,0
O=C([O-])C(=O)CS(=O)(=O)[O-],0
Sc1nnc[nH]1,0
CC(=O)S,0
NC1=NCCC=C1,0
Clc1cnccn1,0
O=[P@]([O-])(O)O[P@@](=O)([O-])N[P+](=O)(=O)[O-],0
O[C@@H]1[C@@H](O)[C@H](O)NC[C@H]1O,0
CN1C=CNCC1,0
Nc1cccc(N)c1,0
O[C@@H]1[C@H](O)CO[C@H]1O,0
O[C@@H]1C=CC=CC1,0
C[C@H]1SC(=O)C=C1O,0
CC1=NCCN1,0
C[P@H](=O)[O-],0
CC1=C(O)[C@@H](C)SC1=O,0
Cc1cnco1,0
[NH3+][C@@H](CO)C(=O)[O-],0
C=C1CCCC1O,0
CNC(N)=[NH2+],0
Cc1ccc[nH]c1=O,0
O=C([O-])[C@@H](O)[C@@H](O)C(=O)[O-],0
C1=[NH+]CCCC1,0
NC(=O)CC[C@H]([NH3+])C=O,0
Sc1ncc[nH]1,0
O=C1C=CNC1=O,0
CCCS(C)(=O)=O,0
O=[P+](=O)([O-])N[P+](=O)(=O)[O-],0
O=CCC(=O)C=O,0
O=C([O-])CO,0
C[C@H]1CC=CCO1,0
Oc1ccc(F)cc1,0
O[C@H]1CC=CC[C@@H]1O,0
[NH3+]CCCC(=O)[O-],0
O=C1NCCC[C@@H]1O,0
C[N@@H+]1CCCC1(C)C,0
CC[C@@H]([NH3+])C=O,0
Cc1ccc(N)c(C)c1,0
C1=NCCC=[NH+]1,0
CC(C)[C@@H]([NH3+])C=O,0
OC1[C@H](O)C[NH2+]C[C@H]1O,0
C1=CSCC1,0
CC[C@H](C)CCCC(C)CCCC[C@H](C)CCC[C@H](C)CCCC(C)C,0
C[C@H]1[C@@H](O)[C@@H](O)C[N@@H+]1C,0
C[SH+]O,0
Oc1c(I)cccc1I,0
CC1=CCCC([NH3+])C1,0
C#C,0
CO[P@](=O)([O-])O,0
CC1=NC[C@@H](O)CN1,0
Oc1cccc(F)c1,0
O=[P@@]([O-])(O[P@](=O)([O-])O)O[P@](=O)([O-])S,0
CC(=O)CO,0
O=c1[nH]ccs1,0
C[C@H]1CC[C@@H](O)CO1,0
Clc1ccncc1,0
Cc1ccccc1Br,0
C[C@H]1CC=CN1,0
CC1/C=C\C[C@@H](C)[C@@H](O)CC1,0
